PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P242
Station name, FrazierAirCN2004
Begin Date, 2004-12-18
End Date, 2023-08-28
Release Date, 2023-08-29
Source file, P242.cwu.igs14.pos
Offset from source file, 89.87 mm North, -186.12 mm East, -10.46 mm Vertical
Reference position, 36.9539319849 North Latitude, -121.4631841431 East Longitude, 14.75973 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-11-03,25.10, -88.30, -9.53, 1.95, 1.61, 7.27, repro,
2007-11-04,25.25, -87.53, -10.39, 1.94, 1.61, 7.21, repro,
2007-11-05,25.49, -87.54, -11.05, 1.94, 1.6, 7.2, repro,
2007-11-06,24.42, -88.60, -14.29, 2.03, 1.71, 7.67, repro,
2007-11-07,25.30, -89.05, -14.16, 1.98, 1.67, 7.48, repro,
2007-11-08,22.84, -90.06, -9.94, 1.98, 1.64, 7.34, repro,
2007-11-09,24.81, -89.17, -13.39, 1.97, 1.64, 7.35, repro,
2007-11-10,24.89, -88.92, -6.96, 2.02, 1.72, 7.76, repro,
2007-11-11,25.07, -91.16, -10.77, 1.94, 1.61, 7.29, repro,
2007-11-12,26.20, -89.86, -12.30, 1.96, 1.61, 7.31, repro,
2007-11-13,25.50, -88.94, 2.00, 1.97, 1.63, 7.4, repro,
2007-11-14,26.94, -89.98, -9.77, 1.97, 1.62, 7.33, repro,
2007-11-15,26.62, -90.07, -12.51, 1.96, 1.61, 7.34, repro,
2007-11-16,27.34, -91.28, -12.91, 1.98, 1.63, 7.45, repro,
2007-11-17,25.84, -91.56, -10.94, 1.96, 1.61, 7.36, repro,
2007-11-18,27.50, -91.62, -9.02, 1.96, 1.62, 7.36, repro,
2007-11-19,25.66, -91.25, -8.03, 1.94, 1.61, 7.25, repro,
2007-11-20,26.96, -91.08, -3.50, 1.96, 1.65, 7.39, repro,
2007-11-21,27.32, -91.02, -10.84, 2.02, 1.7, 7.56, repro,
2007-11-22,27.40, -90.56, -12.16, 1.96, 1.63, 7.35, repro,
2007-11-23,28.71, -91.53, -7.11, 1.99, 1.7, 7.47, repro,
2007-11-24,28.28, -90.55, -7.25, 2.03, 1.72, 7.55, repro,
2007-11-25,28.18, -92.16, -6.82, 2.07, 1.77, 7.6, repro,
2007-11-26,28.41, -92.10, -10.46, 2.06, 1.73, 7.7, repro,
2007-11-27,29.24, -92.48, -4.98, 2.02, 1.72, 7.56, repro,
2007-11-28,29.34, -90.96, -8.61, 2.03, 1.72, 7.5, repro,
2007-11-29,28.96, -92.54, -4.25, 2.03, 1.7, 7.63, repro,
2007-11-30,28.78, -94.11, -7.89, 2.08, 1.77, 7.67, repro,
2007-12-01,28.64, -92.14, -7.97, 2.13, 1.83, 8.03, repro,
2007-12-02,28.98, -91.97, -9.80, 2.1, 1.82, 8.01, repro,
2007-12-03,28.00, -91.68, -6.85, 2.1, 1.78, 8.02, repro,
2007-12-04,30.71, -93.80, -15.55, 2.16, 1.89, 8.2, repro,
2007-12-05,28.06, -92.86, -0.76, 2.11, 1.86, 8.19, repro,
2007-12-06,26.82, -93.64, -4.04, 2.3, 2.02, 8.6, repro,
2007-12-07,24.25, -95.97, -5.57, 2.33, 2, 8.82, repro,
2007-12-08,29.21, -94.44, -3.39, 2.06, 1.75, 7.77, repro,
2007-12-09,31.00, -91.95, -7.30, 2.38, 2.25, 9.34, repro,
2007-12-10,30.82, -93.53, -7.21, 2.08, 1.81, 7.83, repro,
2007-12-11,29.77, -93.61, -2.50, 2.1, 1.77, 7.81, repro,
2007-12-12,31.87, -94.32, -7.17, 2.16, 1.78, 8.09, repro,
2007-12-13,30.57, -93.23, -6.31, 2.04, 1.69, 7.72, repro,
2007-12-14,29.97, -92.72, -1.94, 2.03, 1.64, 7.58, repro,
2007-12-15,30.06, -92.39, 0.29, 2.01, 1.63, 7.53, repro,
2007-12-16,30.36, -93.79, -3.35, 2.03, 1.64, 7.56, repro,
2007-12-17,30.25, -94.30, 5.18, 2.07, 1.7, 7.67, repro,
2007-12-18,27.74, -95.02, 2.33, 2, 1.65, 7.54, repro,
2007-12-19,29.43, -94.34, 4.65, 2.1, 1.72, 7.89, repro,
2007-12-20,28.52, -92.68, 14.95, 2.14, 1.81, 8.05, repro,
2007-12-21,31.13, -94.87, -3.43, 2.1, 1.73, 7.87, repro,
2007-12-22,29.65, -93.70, 3.40, 2.06, 1.74, 7.77, repro,
2007-12-23,29.76, -93.41, -2.69, 2.08, 1.75, 7.84, repro,
2007-12-24,31.67, -92.20, 4.47, 2.12, 1.78, 7.91, repro,
2007-12-25,32.37, -92.94, -8.10, 2.07, 1.72, 7.65, repro,
2007-12-26,30.10, -95.01, 8.38, 2.04, 1.66, 7.55, repro,
2007-12-27,28.67, -95.01, 4.83, 2.06, 1.67, 7.7, repro,
2007-12-28,27.47, -94.27, 2.76, 2.07, 1.71, 7.78, repro,
2007-12-29,29.55, -95.03, 6.71, 2.04, 1.65, 7.61, repro,
2007-12-30,28.81, -95.90, 2.12, 2.07, 1.7, 7.72, repro,
2007-12-31,31.16, -94.35, 1.44, 2.01, 1.62, 7.43, repro,
2008-01-01,30.81, -93.65, 0.65, 2.03, 1.62, 7.47, repro,
2008-01-02,30.08, -94.78, -0.88, 2, 1.61, 7.39, repro,
2008-01-03,29.38, -95.12, 5.54, 2.02, 1.63, 7.5, repro,
2008-01-04,24.46, -99.07, 12.64, 2.02, 1.64, 7.54, repro,
2008-01-05,26.92, -97.99, 20.95, 1.99, 1.58, 7.36, repro,
2008-01-06,29.08, -95.67, 3.89, 1.99, 1.6, 7.47, repro,
2008-01-07,31.23, -95.73, 1.95, 1.99, 1.6, 7.44, repro,
2008-01-08,29.07, -93.69, -2.71, 2.05, 1.61, 7.62, repro,
2008-01-09,28.91, -95.48, 4.47, 2.03, 1.61, 7.6, repro,
2008-01-10,30.90, -95.69, 0.65, 2.02, 1.66, 7.61, repro,
2008-01-11,31.74, -97.18, -1.43, 1.99, 1.6, 7.4, repro,
2008-01-12,33.66, -95.65, 5.14, 1.98, 1.62, 7.4, repro,
2008-01-13,34.02, -96.82, -2.44, 1.99, 1.62, 7.43, repro,
2008-01-14,34.42, -95.70, 0.59, 1.98, 1.61, 7.39, repro,
2008-01-15,32.14, -96.53, 3.28, 1.95, 1.59, 7.23, repro,
2008-01-16,32.49, -96.81, 1.34, 2, 1.61, 7.41, repro,
2008-01-17,34.49, -95.70, -0.08, 2.02, 1.62, 7.48, repro,
2008-01-18,34.49, -96.19, -0.22, 1.98, 1.64, 7.46, repro,
2008-01-19,34.08, -95.63, -4.80, 1.96, 1.6, 7.28, repro,
2008-01-20,30.27, -96.96, 3.43, 1.95, 1.59, 7.25, repro,
2008-01-21,30.03, -97.51, 9.39, 1.96, 1.6, 7.31, repro,
2008-01-22,33.38, -97.37, -0.01, 1.96, 1.6, 7.31, repro,
2008-01-23,30.28, -97.65, -1.58, 1.96, 1.61, 7.32, repro,
2008-01-24,30.61, -97.21, 3.29, 1.95, 1.6, 7.28, repro,
2008-01-25,32.99, -99.61, 5.67, 1.97, 1.6, 7.33, repro,
2008-01-26,35.05, -105.49, 3.13, 1.98, 1.6, 7.36, repro,
2008-01-27,31.94, -103.88, 21.17, 2.02, 1.67, 7.55, repro,
2008-01-28,31.08, -97.71, 9.58, 1.98, 1.61, 7.39, repro,
2008-01-29,33.69, -97.61, 4.34, 2.05, 1.71, 7.61, repro,
2008-01-30,34.33, -96.30, 3.35, 2.06, 1.7, 7.74, repro,
2008-01-31,35.87, -96.69, -0.46, 1.95, 1.61, 7.33, repro,
2008-02-01,35.91, -95.57, 3.60, 1.96, 1.61, 7.38, repro,
2008-02-02,33.68, -97.15, -2.97, 1.96, 1.61, 7.34, repro,
2008-02-03,32.42, -98.74, 5.41, 1.96, 1.62, 7.4, repro,
2008-02-04,34.34, -98.95, -2.07, 1.94, 1.59, 7.26, repro,
2008-02-05,35.33, -96.53, 4.32, 1.99, 1.68, 7.55, repro,
2008-02-06,36.75, -97.17, -1.95, 1.99, 1.67, 7.52, repro,
2008-02-07,34.83, -96.87, 0.84, 2, 1.64, 7.59, repro,
2008-02-08,34.29, -97.29, 4.88, 1.95, 1.6, 7.31, repro,
2008-02-09,35.12, -96.44, 0.39, 1.97, 1.61, 7.39, repro,
2008-02-10,35.58, -97.54, 2.42, 1.95, 1.59, 7.24, repro,
2008-02-11,36.28, -98.02, 5.56, 1.97, 1.6, 7.38, repro,
2008-02-12,35.54, -97.63, 5.28, 1.96, 1.6, 7.3, repro,
2008-02-13,35.13, -99.28, 10.74, 1.95, 1.6, 7.32, repro,
2008-02-14,35.55, -99.29, 13.90, 1.95, 1.59, 7.24, repro,
2008-02-15,36.47, -98.30, 5.39, 1.98, 1.66, 7.45, repro,
2008-02-16,34.79, -98.48, 8.24, 1.97, 1.6, 7.37, repro,
2008-02-17,35.07, -98.31, 5.31, 1.95, 1.6, 7.3, repro,
2008-02-18,32.92, -98.94, 5.69, 1.94, 1.6, 7.3, repro,
2008-02-19,31.90, -99.90, 11.63, 1.96, 1.59, 7.29, repro,
2008-02-20,33.29, -103.24, 11.69, 1.95, 1.61, 7.3, repro,
2008-02-21,31.93, -101.59, 12.10, 1.95, 1.6, 7.32, repro,
2008-02-22,32.79, -102.51, 20.75, 1.95, 1.61, 7.31, repro,
2008-02-23,33.17, -100.99, 11.80, 1.97, 1.62, 7.42, repro,
2008-02-24,30.77, -102.68, 17.59, 2, 1.61, 7.46, repro,
2008-02-25,34.73, -99.70, 7.26, 1.96, 1.62, 7.38, repro,
2008-02-26,35.14, -99.12, 4.86, 1.95, 1.59, 7.29, repro,
2008-02-27,36.08, -99.56, 1.83, 2, 1.65, 7.53, repro,
2008-02-28,36.68, -100.19, 3.07, 2.03, 1.68, 7.74, repro,
2008-02-29,36.42, -100.17, 7.53, 1.99, 1.64, 7.52, repro,
2008-03-01,35.51, -105.40, 14.66, 1.96, 1.63, 7.4, repro,
2008-03-02,34.94, -100.89, 3.84, 1.99, 1.64, 7.5, repro,
2008-03-03,36.82, -99.14, 3.99, 1.95, 1.6, 7.3, repro,
2008-03-04,36.72, -99.00, 3.73, 1.95, 1.59, 7.26, repro,
2008-03-05,37.02, -99.39, 10.43, 2.01, 1.73, 7.74, repro,
2008-03-06,35.66, -100.86, 5.96, 1.95, 1.59, 7.29, repro,
2008-03-07,36.11, -99.78, 3.75, 1.95, 1.59, 7.27, repro,
2008-03-08,37.06, -100.03, 9.78, 2, 1.64, 7.6, repro,
2008-03-09,36.54, -100.26, 3.97, 1.99, 1.65, 7.62, repro,
2008-03-10,36.69, -100.14, 5.26, 1.95, 1.59, 7.28, repro,
2008-03-11,38.25, -101.13, 8.77, 1.97, 1.6, 7.39, repro,
2008-03-12,37.00, -101.46, 15.40, 1.98, 1.64, 7.52, repro,
2008-03-13,38.95, -105.03, 19.11, 1.99, 1.64, 7.56, repro,
2008-03-14,35.24, -101.64, 11.57, 1.99, 1.64, 7.63, repro,
2008-03-15,35.02, -102.47, 10.15, 1.94, 1.59, 7.27, repro,
2008-03-16,35.44, -102.93, 5.85, 2.04, 1.69, 7.87, repro,
2008-03-17,36.77, -101.27, 9.52, 2.08, 1.76, 8.06, repro,
2008-03-18,36.90, -100.26, 13.93, 2.03, 1.71, 7.74, repro,
2008-03-19,33.60, -104.20, 10.44, 2, 1.64, 7.51, repro,
2008-03-20,35.56, -102.02, 9.92, 1.99, 1.64, 7.52, repro,
2008-03-21,35.12, -100.80, 4.89, 1.99, 1.62, 7.45, repro,
2008-03-22,36.18, -101.67, 5.07, 1.99, 1.64, 7.51, repro,
2008-03-23,36.13, -102.00, 5.21, 2, 1.64, 7.51, repro,
2008-03-24,36.59, -101.87, 8.27, 1.98, 1.62, 7.43, repro,
2008-03-25,35.36, -102.26, 18.47, 2.03, 1.68, 7.61, repro,
2008-03-26,34.81, -102.32, 7.71, 2, 1.65, 7.5, repro,
2008-03-27,35.04, -102.75, 5.42, 2.01, 1.67, 7.58, repro,
2008-03-28,35.28, -102.02, 7.79, 1.98, 1.62, 7.39, repro,
2008-03-29,38.00, -107.80, 10.79, 1.98, 1.59, 7.38, repro,
2008-03-30,35.01, -102.19, 10.40, 1.98, 1.6, 7.4, repro,
2008-03-31,35.57, -102.16, 4.86, 1.95, 1.59, 7.29, repro,
2008-04-01,36.15, -102.11, 10.21, 1.96, 1.59, 7.33, repro,
2008-04-02,35.78, -103.48, 14.30, 2.02, 1.6, 7.52, repro,
2008-04-03,35.00, -103.49, 9.78, 1.98, 1.59, 7.36, repro,
2008-04-04,35.03, -101.99, 7.51, 1.98, 1.58, 7.35, repro,
2008-04-05,32.86, -104.57, 15.43, 1.98, 1.59, 7.37, repro,
2008-04-06,34.59, -104.43, 13.75, 1.97, 1.59, 7.42, repro,
2008-04-07,35.07, -103.35, 8.59, 1.97, 1.59, 7.36, repro,
2008-04-08,33.83, -104.17, 15.30, 1.96, 1.58, 7.34, repro,
2008-04-09,33.28, -105.80, 10.50, 1.97, 1.58, 7.37, repro,
2008-04-10,35.78, -102.71, 14.58, 1.98, 1.6, 7.41, repro,
2008-04-11,34.63, -102.16, 4.60, 1.96, 1.59, 7.34, repro,
2008-04-12,34.35, -102.48, 8.27, 1.97, 1.59, 7.38, repro,
2008-04-13,34.79, -102.42, 4.33, 1.98, 1.59, 7.4, repro,
2008-04-14,35.50, -103.78, 4.65, 2.08, 1.64, 7.92, repro,
2008-04-15,32.64, -104.28, 11.85, 2, 1.63, 7.43, repro,
2008-04-16,34.43, -103.45, 13.06, 2.01, 1.63, 7.47, repro,
2008-04-17,34.21, -103.24, 7.36, 1.98, 1.58, 7.39, repro,
2008-04-18,32.89, -103.69, 11.86, 1.98, 1.59, 7.41, repro,
2008-04-19,32.21, -105.04, 11.55, 1.98, 1.58, 7.41, repro,
2008-04-20,33.98, -103.78, 13.33, 2.01, 1.63, 7.57, repro,
2008-04-21,32.93, -103.28, 9.44, 1.97, 1.58, 7.37, repro,
2008-04-22,33.88, -103.65, 10.96, 2.04, 1.62, 7.53, repro,
2008-04-23,32.91, -107.09, 1.35, 2.05, 1.65, 7.66, repro,
2008-04-24,34.52, -102.83, 5.71, 2, 1.62, 7.56, repro,
2008-04-25,35.18, -102.52, 6.46, 2, 1.59, 7.44, repro,
2008-04-26,35.92, -103.08, 3.66, 2.09, 1.67, 7.7, repro,
2008-04-27,32.73, -103.39, 4.88, 2.07, 1.62, 7.63, repro,
2008-04-28,33.25, -102.52, -2.06, 2.08, 1.61, 7.65, repro,
2008-04-29,33.82, -102.71, -1.54, 2.11, 1.62, 7.73, repro,
2008-04-30,31.96, -104.13, 9.61, 2.04, 1.62, 7.56, repro,
2008-05-01,35.35, -104.38, 6.39, 2.03, 1.62, 7.49, repro,
2008-05-02,33.92, -103.27, 7.76, 2.07, 1.66, 7.63, repro,
2008-05-03,32.63, -103.51, 8.63, 2, 1.58, 7.39, repro,
2008-05-04,31.31, -106.12, 8.53, 2, 1.59, 7.42, repro,
2008-05-05,32.55, -104.94, 4.75, 2.03, 1.62, 7.54, repro,
2008-05-06,30.92, -107.07, 7.02, 2.05, 1.63, 7.58, repro,
2008-05-07,33.35, -105.10, 2.82, 2.03, 1.6, 7.47, repro,
2008-05-08,32.37, -104.71, 8.16, 2.18, 1.69, 7.94, repro,
2008-05-09,32.20, -104.07, 8.24, 2.09, 1.67, 7.76, repro,
2008-05-10,32.59, -104.20, 5.16, 2, 1.58, 7.42, repro,
2008-05-11,32.88, -104.80, 3.71, 2.03, 1.6, 7.55, repro,
2008-05-12,33.10, -105.11, 15.79, 2.05, 1.62, 7.62, repro,
2008-05-13,33.59, -104.91, 4.95, 2.06, 1.6, 7.54, repro,
2008-05-14,32.01, -106.48, 8.76, 2.02, 1.58, 7.46, repro,
2008-05-15,34.10, -105.92, 1.65, 2.03, 1.59, 7.49, repro,
2008-05-16,34.97, -104.30, -2.01, 2.01, 1.58, 7.41, repro,
2008-05-17,34.57, -104.40, 5.92, 2.05, 1.61, 7.56, repro,
2008-05-18,33.39, -104.86, 3.67, 2.05, 1.62, 7.58, repro,
2008-05-19,31.84, -105.16, 8.02, 2, 1.59, 7.42, repro,
2008-05-20,30.23, -107.20, 8.01, 2.03, 1.62, 7.57, repro,
2008-05-21,32.93, -107.75, 2.81, 2.01, 1.6, 7.56, repro,
2008-05-22,32.09, -107.13, 6.61, 2, 1.62, 7.51, repro,
2008-05-23,32.07, -106.57, 8.11, 2.01, 1.63, 7.63, repro,
2008-05-24,31.42, -108.62, 5.14, 2, 1.6, 7.5, repro,
2008-05-25,31.08, -106.87, 4.12, 2.01, 1.63, 7.56, repro,
2008-05-26,31.33, -106.69, 4.49, 2.01, 1.63, 7.51, repro,
2008-05-27,31.01, -106.01, 0.44, 2, 1.58, 7.46, repro,
2008-05-28,33.74, -105.90, -5.38, 2.01, 1.59, 7.45, repro,
2008-05-29,34.70, -105.83, -5.56, 2.05, 1.65, 7.63, repro,
2008-05-30,34.60, -106.23, -2.51, 2.01, 1.59, 7.47, repro,
2008-05-31,30.49, -108.73, -1.21, 1.99, 1.58, 7.38, repro,
2008-06-01,33.06, -107.14, 0.29, 2, 1.59, 7.44, repro,
2008-06-02,33.30, -105.71, 0.49, 2, 1.58, 7.46, repro,
2008-06-03,33.64, -105.84, -7.19, 2.08, 1.66, 7.84, repro,
2008-06-04,32.64, -105.02, 7.58, 2, 1.6, 7.53, repro,
2008-06-05,30.87, -107.37, 6.33, 1.99, 1.58, 7.4, repro,
2008-06-06,31.48, -105.95, -1.51, 2.03, 1.61, 7.53, repro,
2008-06-07,32.54, -105.51, -0.92, 2.07, 1.66, 7.7, repro,
2008-06-08,33.37, -105.55, 6.93, 2.03, 1.63, 7.53, repro,
2008-06-09,35.06, -105.99, -1.39, 2.06, 1.62, 7.56, repro,
2008-06-10,35.09, -106.70, -0.52, 1.99, 1.58, 7.38, repro,
2008-06-11,35.22, -107.22, 1.75, 2, 1.57, 7.39, repro,
2008-06-12,32.38, -106.54, 2.96, 2.02, 1.61, 7.51, repro,
2008-06-13,33.87, -105.31, -5.78, 2.03, 1.62, 7.64, repro,
2008-06-14,30.69, -109.27, -0.59, 2.05, 1.62, 7.52, repro,
2008-06-15,30.81, -106.69, -2.98, 2.06, 1.62, 7.51, repro,
2008-06-16,32.26, -106.43, -7.51, 2, 1.6, 7.5, repro,
2008-06-17,31.75, -106.60, -4.78, 2.01, 1.58, 7.41, repro,
2008-06-18,34.09, -105.98, -6.91, 2.02, 1.6, 7.5, repro,
2008-06-19,33.35, -105.69, -1.75, 2.08, 1.69, 7.83, repro,
2008-06-20,31.46, -107.19, -1.97, 2.01, 1.57, 7.42, repro,
2008-06-21,35.19, -106.55, -8.94, 2.17, 1.66, 7.95, repro,
2008-06-22,33.30, -106.36, -13.77, 2.01, 1.58, 7.4, repro,
2008-06-23,32.14, -105.89, -4.01, 2.01, 1.58, 7.43, repro,
2008-06-24,32.04, -106.15, -6.44, 2.07, 1.66, 7.65, repro,
2008-06-25,31.51, -107.12, -2.66, 1.98, 1.55, 7.29, repro,
2008-06-26,31.10, -107.36, -8.56, 2.05, 1.68, 7.63, repro,
2008-06-27,29.72, -107.23, -5.17, 1.97, 1.55, 7.23, repro,
2008-06-28,29.54, -108.15, -8.53, 2.05, 1.64, 7.59, repro,
2008-06-29,29.91, -109.21, -11.24, 2.04, 1.64, 7.56, repro,
2008-06-30,31.06, -108.01, -9.75, 2.01, 1.57, 7.4, repro,
2008-07-01,29.60, -109.72, -8.88, 1.98, 1.57, 7.29, repro,
2008-07-02,30.66, -107.94, -8.66, 1.99, 1.56, 7.31, repro,
2008-07-03,30.48, -109.16, -7.18, 2, 1.57, 7.34, repro,
2008-07-04,31.00, -108.81, -7.92, 2.01, 1.57, 7.38, repro,
2008-07-05,32.05, -107.22, -8.79, 2.04, 1.64, 7.55, repro,
2008-07-06,30.14, -108.86, -3.63, 1.99, 1.57, 7.37, repro,
2008-07-07,30.54, -108.16, -3.59, 2.03, 1.63, 7.5, repro,
2008-07-08,30.14, -108.86, -4.00, 2.01, 1.56, 7.35, repro,
2008-07-09,31.21, -109.31, -8.52, 2.02, 1.57, 7.41, repro,
2008-07-10,29.93, -108.82, -7.87, 2.07, 1.6, 7.47, repro,
2008-07-11,30.02, -109.08, -12.30, 2.11, 1.67, 7.66, repro,
2008-07-12,27.52, -110.55, -9.62, 2, 1.57, 7.33, repro,
2008-07-13,30.66, -108.93, -11.34, 2.06, 1.69, 7.63, repro,
2008-07-14,28.99, -110.54, -11.32, 2.07, 1.64, 7.6, repro,
2008-07-15,29.34, -111.43, -11.58, 2.01, 1.57, 7.39, repro,
2008-07-16,31.23, -110.37, -18.83, 2, 1.57, 7.35, repro,
2008-07-17,31.78, -108.61, -12.75, 2, 1.57, 7.36, repro,
2008-07-18,29.64, -109.76, -6.83, 2.12, 1.62, 7.73, repro,
2008-07-19,30.00, -109.54, -4.80, 2.06, 1.57, 7.57, repro,
2008-07-20,30.77, -110.45, -10.47, 2, 1.57, 7.38, repro,
2008-07-21,30.94, -109.11, -9.04, 2.01, 1.57, 7.35, repro,
2008-07-22,31.00, -109.08, -14.54, 2.06, 1.58, 7.53, repro,
2008-07-23,31.65, -108.13, -9.69, 2.03, 1.58, 7.45, repro,
2008-07-24,31.95, -110.53, -12.00, 1.99, 1.56, 7.31, repro,
2008-07-25,32.04, -109.16, -9.01, 2.01, 1.56, 7.37, repro,
2008-07-26,31.09, -108.40, -9.40, 1.99, 1.56, 7.33, repro,
2008-07-27,31.29, -109.74, -7.62, 2.03, 1.62, 7.52, repro,
2008-07-28,31.44, -109.81, -6.46, 2.04, 1.6, 7.43, repro,
2008-07-29,30.74, -110.05, -10.22, 2.1, 1.63, 7.84, repro,
2008-07-30,31.95, -110.10, -4.05, 2.08, 1.59, 7.68, repro,
2008-07-31,29.83, -110.82, -3.39, 2.02, 1.58, 7.45, repro,
2008-08-01,31.01, -109.67, -11.57, 2.01, 1.57, 7.38, repro,
2008-08-02,31.40, -110.52, -7.66, 1.98, 1.56, 7.3, repro,
2008-08-03,31.82, -111.10, -11.00, 2.04, 1.6, 7.41, repro,
2008-08-04,32.17, -110.47, -13.31, 2.01, 1.56, 7.35, repro,
2008-08-05,31.65, -110.79, -17.81, 2, 1.56, 7.38, repro,
2008-08-06,28.24, -113.16, -15.17, 2.05, 1.57, 7.53, repro,
2008-08-07,29.91, -111.80, -11.99, 2.09, 1.63, 7.6, repro,
2008-08-08,30.22, -111.76, -14.97, 2.1, 1.63, 7.57, repro,
2008-08-09,28.75, -111.71, -14.53, 2.06, 1.58, 7.5, repro,
2008-08-10,31.29, -112.32, -20.19, 2.05, 1.58, 7.5, repro,
2008-08-11,31.70, -111.24, -13.96, 2.04, 1.56, 7.43, repro,
2008-08-12,31.42, -110.89, -20.62, 2.06, 1.58, 7.55, repro,
2008-08-13,30.51, -111.07, -14.57, 2.05, 1.57, 7.43, repro,
2008-08-14,30.15, -112.90, -12.37, 2.05, 1.57, 7.47, repro,
2008-08-15,31.36, -112.90, -13.73, 2.05, 1.57, 7.48, repro,
2008-08-16,31.58, -113.12, -17.35, 2.05, 1.56, 7.47, repro,
2008-08-17,29.03, -112.93, -15.97, 2.05, 1.58, 7.54, repro,
2008-08-18,27.76, -114.69, -10.80, 2.05, 1.57, 7.47, repro,
2008-08-19,29.52, -113.99, -8.18, 2.06, 1.58, 7.51, repro,
2008-08-20,31.28, -115.89, -6.52, 2.04, 1.58, 7.48, repro,
2008-08-21,30.98, -114.21, -6.68, 2.04, 1.59, 7.52, repro,
2008-08-22,31.81, -114.14, -7.66, 2.03, 1.57, 7.47, repro,
2008-08-23,27.76, -114.25, -12.64, 2.05, 1.57, 7.48, repro,
2008-08-24,30.57, -112.95, -12.70, 2.06, 1.6, 7.56, repro,
2008-08-25,33.04, -114.64, -18.33, 2.07, 1.61, 7.74, repro,
2008-08-26,31.85, -114.04, -12.82, 2.09, 1.66, 7.73, repro,
2008-08-27,31.12, -113.41, -9.87, 2.05, 1.6, 7.59, repro,
2008-08-28,32.06, -115.18, -12.90, 2.19, 1.68, 7.95, repro,
2008-08-29,31.99, -114.65, -14.26, 2.08, 1.6, 7.61, repro,
2008-08-30,30.49, -115.14, -10.88, 2.09, 1.61, 7.63, repro,
2008-08-31,31.36, -114.11, -18.24, 2.08, 1.61, 7.63, repro,
2008-09-01,32.36, -114.72, -19.90, 2.07, 1.61, 7.63, repro,
2008-09-02,32.42, -114.08, -17.66, 2.06, 1.6, 7.57, repro,
2008-09-03,32.51, -113.58, -16.90, 2.08, 1.6, 7.61, repro,
2008-09-04,32.09, -113.90, -21.11, 2.17, 1.71, 8.06, repro,
2008-09-05,31.07, -113.97, -17.90, 2.14, 1.64, 7.73, repro,
2008-09-06,31.52, -114.43, -19.32, 2.06, 1.6, 7.59, repro,
2008-09-07,30.80, -113.54, -15.50, 2.1, 1.64, 7.78, repro,
2008-09-08,30.51, -114.66, -22.24, 2.07, 1.6, 7.63, repro,
2008-09-09,30.15, -116.15, -17.23, 2.12, 1.63, 7.81, repro,
2008-09-10,32.08, -115.47, -20.14, 2.13, 1.7, 7.98, repro,
2008-09-11,30.73, -116.03, -18.80, 2.09, 1.64, 7.74, repro,
2008-09-12,31.32, -117.05, -20.47, 2.16, 1.75, 8.18, repro,
2008-09-13,30.64, -115.72, -17.16, 2.13, 1.66, 7.86, repro,
2008-09-14,31.15, -114.98, -27.20, 2.13, 1.68, 7.91, repro,
2008-09-15,32.15, -115.06, -23.63, 2.06, 1.6, 7.59, repro,
2008-09-16,32.43, -115.84, -24.80, 2.07, 1.63, 7.62, repro,
2008-09-17,29.59, -116.74, -23.48, 2.14, 1.64, 7.79, repro,
2008-09-18,32.64, -114.63, -22.43, 2.05, 1.56, 7.43, repro,
2008-09-19,32.58, -115.26, -22.37, 2.05, 1.56, 7.48, repro,
2008-09-20,30.06, -118.02, -12.90, 2.04, 1.57, 7.45, repro,
2008-09-21,31.53, -116.94, -17.40, 2.07, 1.6, 7.56, repro,
2008-09-22,32.26, -116.26, -22.16, 2.06, 1.6, 7.67, repro,
2008-09-23,32.52, -115.62, -17.13, 2.05, 1.57, 7.48, repro,
2008-09-24,32.14, -115.35, -16.56, 2.15, 1.67, 7.95, repro,
2008-09-25,32.62, -115.34, -26.45, 2.09, 1.61, 7.69, repro,
2008-09-26,32.81, -115.63, -15.41, 2.03, 1.56, 7.41, repro,
2008-09-27,31.16, -115.26, -18.72, 2.11, 1.66, 7.79, repro,
2008-09-28,32.65, -115.64, -23.62, 2.04, 1.57, 7.46, repro,
2008-09-29,30.45, -116.79, -24.86, 2.08, 1.6, 7.57, repro,
2008-09-30,33.25, -116.30, -24.20, 2.06, 1.58, 7.53, repro,
2008-10-01,32.55, -116.23, -22.58, 2.05, 1.57, 7.48, repro,
2008-10-02,32.09, -116.32, -21.55, 2.1, 1.67, 7.8, repro,
2008-10-03,32.94, -117.88, -18.58, 2.12, 1.68, 7.9, repro,
2008-10-04,32.81, -120.29, -17.18, 2.08, 1.59, 7.6, repro,
2008-10-05,31.86, -119.76, -25.23, 2.07, 1.58, 7.54, repro,
2008-10-06,33.27, -117.83, -21.70, 2.05, 1.59, 7.5, repro,
2008-10-07,33.79, -117.17, -25.34, 2.07, 1.58, 7.54, repro,
2008-10-08,35.58, -117.13, -22.66, 2.05, 1.61, 7.6, repro,
2008-10-09,33.01, -118.49, -17.83, 2, 1.57, 7.39, repro,
2008-10-10,32.59, -119.47, -30.44, 2.01, 1.55, 7.33, repro,
2008-10-11,33.70, -118.59, -28.85, 2, 1.56, 7.37, repro,
2008-10-12,33.35, -118.15, -23.98, 2, 1.57, 7.4, repro,
