PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P242
Station name, FrazierAirCN2004
Begin Date, 2004-12-18
End Date, 2023-08-28
Release Date, 2023-08-29
Source file, P242.cwu.igs14.pos
Offset from source file, 89.87 mm North, -186.12 mm East, -10.46 mm Vertical
Reference position, 36.9539319849 North Latitude, -121.4631841431 East Longitude, 14.75973 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-03-01,2.69, -5.52, 14.59, 2.05, 1.62, 7.39, repro,
2005-03-02,3.30, -6.38, 16.27, 2.08, 1.68, 7.68, repro,
2005-03-03,4.27, -5.72, 11.37, 2.05, 1.62, 7.39, repro,
2005-03-04,4.32, -5.70, 5.24, 2.16, 1.73, 7.79, repro,
2005-03-05,5.19, -5.10, 8.60, 2.05, 1.62, 7.37, repro,
2005-03-06,4.06, -4.53, 15.18, 2.05, 1.62, 7.38, repro,
2005-03-07,5.32, -4.26, 12.06, 2.05, 1.63, 7.4, repro,
2005-03-08,5.12, -4.24, 8.18, 2.07, 1.63, 7.45, repro,
2005-03-09,5.65, -5.00, 8.94, 2.08, 1.67, 7.52, repro,
2005-03-10,4.32, -4.42, 15.70, 2.07, 1.63, 7.42, repro,
2005-03-11,3.41, -5.42, 17.55, 2.05, 1.61, 7.35, repro,
2005-03-12,3.48, -5.25, 17.51, 2.06, 1.62, 7.38, repro,
2005-03-13,4.04, -5.70, 9.65, 2.06, 1.63, 7.46, repro,
2005-03-14,5.01, -6.50, 10.23, 2.07, 1.63, 7.47, repro,
2005-03-15,4.39, -5.27, 11.20, 2.09, 1.68, 7.61, repro,
2005-03-16,3.50, -5.48, 16.41, 2.09, 1.66, 7.59, repro,
2005-03-17,4.28, -5.16, 12.01, 2.07, 1.63, 7.44, repro,
2005-03-18,4.32, -5.85, 16.01, 2.07, 1.63, 7.47, repro,
2005-03-19,2.11, -6.45, 29.45, 2.08, 1.64, 7.56, repro,
2005-03-20,4.75, -5.27, 27.18, 2.1, 1.66, 7.64, repro,
2005-03-21,3.87, -6.89, 18.68, 2.12, 1.65, 7.53, repro,
2005-03-22,1.88, -7.98, 23.36, 2.08, 1.63, 7.49, repro,
2005-03-23,2.62, -8.06, 27.31, 2.07, 1.63, 7.45, repro,
2005-03-24,3.99, -7.65, 16.94, 2.07, 1.62, 7.43, repro,
2005-03-25,3.71, -7.46, 15.90, 2.06, 1.62, 7.42, repro,
2005-03-26,4.35, -6.71, 18.51, 2.06, 1.63, 7.41, repro,
2005-03-27,4.74, -6.38, 21.62, 2.07, 1.62, 7.41, repro,
2005-03-28,3.65, -9.21, 21.72, 2.08, 1.63, 7.51, repro,
2005-03-29,5.03, -8.13, 28.45, 2.09, 1.68, 7.63, repro,
2005-03-30,4.72, -8.64, 22.85, 2.1, 1.67, 7.52, repro,
2005-03-31,5.18, -8.15, 20.12, 2.11, 1.64, 7.59, repro,
2005-04-01,4.64, -7.16, 19.77, 2.06, 1.62, 7.43, repro,
2005-04-02,4.44, -7.33, 18.78, 2.07, 1.62, 7.41, repro,
2005-04-03,4.27, -7.65, 31.43, 2.19, 1.69, 7.97, repro,
2005-04-04,5.36, -8.59, 24.96, 2.15, 1.64, 7.81, repro,
2005-04-05,5.46, -8.24, 20.07, 2.06, 1.63, 7.58, repro,
2005-04-06,4.97, -8.38, 18.98, 2.23, 1.72, 8.34, repro,
2005-04-07,4.48, -8.09, 19.38, 2.14, 1.73, 8.01, repro,
2005-04-08,4.58, -10.45, 29.34, 2.1, 1.62, 7.78, repro,
2005-04-09,4.52, -8.47, 28.13, 2.13, 1.66, 7.86, repro,
2005-04-10,4.65, -9.96, 24.57, 2.14, 1.64, 7.86, repro,
2005-04-11,5.35, -8.20, 19.35, 2.21, 1.68, 8.1, repro,
2005-04-12,5.09, -9.51, 19.02, 2.11, 1.62, 7.76, repro,
2005-04-13,5.32, -9.85, 25.08, 2.12, 1.61, 7.75, repro,
2005-04-14,5.81, -8.42, 20.38, 2.19, 1.69, 7.68, repro,
2005-04-15,3.91, -8.93, 22.97, 2.18, 1.68, 7.96, repro,
2005-04-16,5.05, -9.72, 28.02, 2.17, 1.69, 8.06, repro,
2005-04-17,5.04, -9.42, 20.22, 2.1, 1.64, 7.53, repro,
2005-04-18,5.27, -9.72, 21.42, 2.13, 1.64, 7.74, repro,
2005-04-19,6.61, -8.90, 17.94, 2.07, 1.62, 7.37, repro,
2005-04-20,6.20, -8.76, 21.80, 2.25, 1.7, 8.06, repro,
2005-04-21,3.16, -9.17, 25.58, 2.14, 1.65, 7.76, repro,
2005-04-22,3.86, -8.67, 21.16, 2.13, 1.7, 7.71, repro,
2005-04-23,3.00, -10.02, 30.27, 2.17, 1.67, 7.65, repro,
2005-04-24,2.62, -9.53, 25.82, 2.13, 1.64, 7.75, repro,
2005-04-25,3.35, -9.76, 15.41, 2.11, 1.63, 7.64, repro,
2005-04-26,2.80, -9.56, 23.21, 2.11, 1.64, 7.69, repro,
2005-04-27,2.80, -9.78, 19.98, 2.1, 1.65, 7.56, repro,
2005-04-28,0.18, -11.42, 24.15, 2.13, 1.68, 7.7, repro,
2005-04-29,3.49, -10.24, 19.79, 2.08, 1.63, 7.45, repro,
2005-04-30,3.45, -10.40, 17.27, 2.06, 1.62, 7.34, repro,
2005-05-01,3.91, -10.57, 22.66, 2.12, 1.63, 7.69, repro,
2005-05-02,4.12, -10.68, 21.47, 2.08, 1.62, 7.42, repro,
2005-05-03,4.46, -10.18, 19.98, 2.08, 1.67, 7.63, repro,
2005-05-04,3.69, -9.58, 22.62, 2.07, 1.62, 7.47, repro,
2005-05-05,2.47, -9.89, 27.40, 2.05, 1.61, 7.34, repro,
2005-05-06,3.56, -10.72, 21.98, 2.05, 1.6, 7.33, repro,
2005-05-07,4.30, -9.16, 23.69, 2.06, 1.63, 7.42, repro,
2005-05-08,4.94, -9.46, 22.07, 2.06, 1.62, 7.44, repro,
2005-05-09,0.90, -9.85, 36.29, 2.06, 1.63, 7.5, repro,
2005-05-10,3.79, -10.44, 24.19, 2.12, 1.65, 7.68, repro,
2005-05-11,5.88, -11.29, 24.40, 2.14, 1.7, 7.82, repro,
2005-05-12,5.10, -11.51, 18.33, 2.13, 1.71, 7.86, repro,
2005-05-13,5.57, -10.99, 14.88, 2.15, 1.76, 8, repro,
2005-05-14,4.80, -11.37, 22.15, 2.12, 1.74, 7.76, repro,
2005-05-15,4.33, -10.03, 20.15, 2.09, 1.7, 7.59, repro,
2005-05-16,6.45, -11.60, 30.63, 2.11, 1.7, 7.64, repro,
2005-05-17,2.67, -14.06, 35.70, 2.16, 1.68, 7.66, repro,
2005-05-18,6.45, -10.28, 25.65, 2.17, 1.71, 7.74, repro,
2005-05-19,5.65, -9.08, 26.43, 2.1, 1.69, 7.55, repro,
2005-05-20,4.57, -10.78, 25.70, 2.08, 1.69, 7.52, repro,
2005-05-21,4.50, -11.67, 18.56, 2.08, 1.69, 7.54, repro,
2005-05-22,4.15, -11.94, 19.56, 2.1, 1.7, 7.63, repro,
2005-05-23,3.16, -12.20, 18.85, 2.08, 1.69, 7.5, repro,
2005-05-24,3.35, -13.17, 39.56, 2.1, 1.69, 7.55, repro,
2005-05-25,3.57, -11.85, 21.29, 2.08, 1.68, 7.47, repro,
2005-05-26,3.70, -12.28, 17.61, 2.07, 1.69, 7.53, repro,
2005-05-27,4.68, -11.60, 17.22, 2.1, 1.67, 7.55, repro,
2005-05-28,3.34, -12.42, 19.61, 2.1, 1.69, 7.55, repro,
2005-05-29,3.50, -13.79, 19.66, 2.18, 1.79, 7.96, repro,
2005-05-30,3.99, -12.81, 20.63, 2.1, 1.69, 7.54, repro,
2005-05-31,4.03, -12.92, 15.68, 2.08, 1.68, 7.5, repro,
2005-06-01,2.79, -12.18, 25.25, 2.09, 1.63, 7.51, repro,
2005-06-02,3.07, -13.04, 20.13, 2.07, 1.63, 7.49, repro,
2005-06-03,4.25, -12.64, 18.08, 2.06, 1.62, 7.42, repro,
2005-06-04,1.91, -13.07, 19.31, 2.07, 1.62, 7.4, repro,
2005-06-05,3.61, -11.78, 11.48, 2.08, 1.67, 7.52, repro,
2005-06-06,3.87, -12.70, 12.60, 2.14, 1.66, 7.63, repro,
2005-06-07,2.39, -12.90, 19.06, 2.07, 1.63, 7.5, repro,
2005-06-08,1.99, -12.97, 24.93, 2.06, 1.63, 7.43, repro,
2005-06-09,1.48, -13.54, 17.17, 2.08, 1.65, 7.49, repro,
2005-06-10,0.72, -12.48, 18.64, 2.1, 1.68, 7.58, repro,
2005-06-11,2.24, -13.43, 14.10, 2.16, 1.72, 7.74, repro,
2005-06-12,2.28, -14.55, 17.17, 2.18, 1.72, 7.84, repro,
2005-06-13,2.63, -14.80, 18.69, 2.17, 1.72, 7.77, repro,
2005-06-14,0.76, -12.85, 12.65, 2.15, 1.7, 7.69, repro,
2005-06-15,3.16, -12.72, 20.76, 2.08, 1.63, 7.41, repro,
2005-06-16,-0.35, -12.67, 11.64, 2.13, 1.64, 7.52, repro,
2005-06-17,0.65, -16.08, 6.84, 2.16, 1.66, 7.65, repro,
2005-06-18,0.41, -14.69, 12.49, 2.06, 1.63, 7.41, repro,
